;name;regions;trainingIterations;threshold;fn_rate
0;;16;51200;0.0;60.03414060596651
1;;16;51200;0.01;3.541309337975774
2;;16;51200;0.010115911122238298;3.4858929686376356
3;;16;51200;0.01023316578330245;3.4312523449069703
4;;16;51200;0.010351779556301762;3.3843580354828826
5;;16;51200;0.010471768194855203;3.3181815035534785
6;;16;51200;0.0105931476351837;3.198971547949107
7;;16;51200;0.010715933998226712;3.128900968051133
8;;16;51200;0.01084014359178331;3.0794426592314306
9;;16;51200;0.010965792912678098;3.0074974768421483
10;;16;51200;0.011092898648952227;2.957291276835349
11;;16;51200;0.011221477682079803;2.8538678139791003
12;;16;51200;0.01135154708920999;2.8048913866319034
13;;16;51200;0.011483124145435111;2.7550264032747105
14;;16;51200;0.011616226326085019;2.706920426564265
15;;16;51200;0.011750871309048077;2.656260199505336
16;;16;51200;0.011887076977119033;2.6067823925913705
17;;16;51200;0.012024861420374122;2.562842044448162
18;;16;51200;0.012164242938573681;2.5178474064937206
19;;16;51200;0.012305240043592616;2.4722441494540623
20;;16;51200;0.012447871461879062;2.4145102923406374
21;;16;51200;0.012592156136941509;2.3422113588125795
22;;16;51200;0.012738113231864785;2.2345721294324163
23;;16;51200;0.01288576213185518;2.1818868860121494
24;;16;51200;0.01303512244681509;2.1255652480117897
25;;16;51200;0.013186214013947484;1.9914879955317055
26;;16;51200;0.013339056900390587;1.9195386349793664
27;;16;51200;0.013493671405883064;1.8174953586527507
28;;16;51200;0.013650078065460139;1.7338708177997937
29;;16;51200;0.013808297652180923;1.6409470787042943
30;;16;51200;0.013968351179887397;1.5547362549194215
31;;16;51200;0.014130259905995335;1.4496303850724594
32;;16;51200;0.01429404533431761;1.28107353832989
33;;16;51200;0.014459729217920195;1.2072648952174505
34;;16;51200;0.014627333562011298;1.0237878282004529
35;;16;51200;0.014796880626863964;0.8776732879548615
36;;16;51200;0.014968392930772557;0.8460835898063908
37;;16;51200;0.01514189325304352;0.8139521231816059
38;;16;51200;0.015317404637020797;0.6364136185887812
39;;16;51200;0.015494950393146316;0.5805780402239835
40;;16;51200;0.01567455410205595;0.5612025054104077
41;;16;51200;0.015856239617711373;0.5419996680031635
42;;16;51200;0.0160400310705682;0.5256546941265013
43;;16;51200;0.01622595287078087;0.502151134213196
44;;16;51200;0.016414029711444664;0.48648580819370923
45;;16;51200;0.016604286571875296;0.46489723968125685
46;;16;51200;0.016796748720926534;0.45115526138873585
47;;16;51200;0.01699144172034626;0.4385594924946891
48;;16;51200;0.017188391428171454;0.42659601894317856
49;;16;51200;0.017387624002162504;0.4154180400462723
50;;16;51200;0.01758916590327733;0.407859743077233
51;;16;51200;0.017793043899185772;0.40227771723387384
52;;16;51200;0.017999285067824763;0.39718035830505793
53;;16;51200;0.018207916800994622;0.3931080420460804
54;;16;51200;0.01841896680799711;0.3749177128195053
55;;16;51200;0.018632463119315597;0.26731330146481247
56;;16;51200;0.018848434090337953;0.2554528892686932
57;;16;51200;0.01906690840512252;0.14851419856098774
58;;16;51200;0.019287915080207777;0.12291180807234751
59;;16;51200;0.019511483468466165;0.11314326284646913
60;;16;51200;0.019737643263002553;0.10296665036208169
61;;16;51200;0.019966424501097934;0.09427607120475619
62;;16;51200;0.020197857568198786;0.08703113646494731
63;;16;51200;0.020431973201952707;0.08268723960730337
64;;16;51200;0.02066880249629082;0.0774338959243816
65;;16;51200;0.0209083769055575;0.07217498135738462
66;;16;51200;0.021150728248687946;0.06734920302723511
67;;16;51200;0.021395888713434216;0.03296709923606606
68;;16;51200;0.021643890860640204;0.030648218739760456
69;;16;51200;0.021894767628566205;0.02692269001446466
70;;16;51200;0.02214855233726359;0.02445061020609082
71;;16;51200;0.022405278693000182;0.019347680393199684
72;;16;51200;0.02266498079273693;0.016915989494371102
73;;16;51200;0.022927693128656487;0.014475942269429708
