;name;regions;trainingIterations;threshold;fn_rate
0;;16;800;0.0;896.777.606.456.349
1;;16;800;1.0;3.471.870.033.572.310
2;;16;800;10.0;1.848.228.046.242.440
3;;16;800;20.0;11.898.931.776.342.300
4;;16;800;50.0;57.776.708.194.838.200
5;;16;800;100.0;3.205.590.677.908.280
6;;16;800;200.0;16.788.145.595.250.100
7;;16;800;500.0;0.6351212367558009
8;;16;800;1000.0;0.26887180475884276
0;;16;1600;0.0;8.970.307.461.321.950
1;;16;1600;1.0;34.504.808.815.493.000
2;;16;1600;10.0;18.113.992.149.486.900
3;;16;1600;20.0;11.413.316.680.508.600
4;;16;1600;50.0;5.335.646.327.819.700
5;;16;1600;100.0;28.620.795.701.637.000
6;;16;1600;200.0;1.472.449.271.877.710
7;;16;1600;500.0;0.6232274207895193
8;;16;1600;1000.0;0.31643990863934107
0;;16;3200;0.0;8.962.245.473.193.200
1;;16;3200;1.0;3.437.441.670.456.120
2;;16;3200;10.0;17.987.046.471.932.500
3;;16;3200;20.0;11.323.882.732.903.200
4;;16;3200;50.0;52.746.135.143.616.900
5;;16;3200;100.0;27.951.044.683.119.900
6;;16;3200;200.0;13.905.605.003.169.400
7;;16;3200;500.0;0.533972063726014
8;;16;3200;1000.0;0.25465574605724034
0;;16;6400;0.0;8.969.451.507.646.830
1;;16;6400;1.0;3.446.580.850.177.500
2;;16;6400;10.0;1.818.753.682.723.700
3;;16;6400;20.0;11.556.087.182.230.900
4;;16;6400;50.0;5.262.243.195.186.660
5;;16;6400;100.0;2.693.558.115.996.850
6;;16;6400;200.0;13.437.334.830.196.700
7;;16;6400;500.0;0.5686693381069384
8;;16;6400;1000.0;0.316171820573076
0;;16;12800;0.0;8.970.600.817.395.760
1;;16;12800;1.0;34.698.893.006.215.900
2;;16;12800;10.0;1.851.582.871.402.150
3;;16;12800;20.0;11.913.070.893.217.000
4;;16;12800;50.0;5.542.817.038.958.850
5;;16;12800;100.0;295.621.101.982.675
6;;16;12800;200.0;1.546.260.374.673.240
7;;16;12800;500.0;0.5785548719278735
8;;16;12800;1000.0;0.2503225235926866
0;;16;25600;0.0;8.957.687.999.245.150
1;;16;25600;1.0;346.412.034.708.876
2;;16;25600;10.0;18.364.394.733.088.700
3;;16;25600;20.0;11.839.524.578.965.300
4;;16;25600;50.0;569.434.980.399.428
5;;16;25600;100.0;3.007.338.093.123.230
6;;16;25600;200.0;15.210.537.265.668.500
7;;16;25600;500.0;0.6540066674825942
8;;16;25600;1000.0;0.31998936755163504
0;;16;51200;0.0;898.116.459.119.511
1;;16;51200;1.0;3.481.549.972.096.860
2;;16;51200;10.0;18.639.935.311.547.400
3;;16;51200;20.0;1.195.813.348.690.340
4;;16;51200;50.0;56.447.445.762.946.400
5;;16;51200;100.0;30.641.122.883.824.400
6;;16;51200;200.0;16.719.898.430.283.600
7;;16;51200;500.0;0.8080011946893262
8;;16;51200;1000.0;0.4760509710388989
0;;16;102400;0.0;8.956.595.944.386.910
1;;16;102400;1.0;3.446.970.653.257.750
2;;16;102400;10.0;1.809.159.568.949
3;;16;102400;20.0;11.518.553.847.762.400
4;;16;102400;50.0;5.425.740.079.156.780
5;;16;102400;100.0;2.875.123.545.402.040
6;;16;102400;200.0;14.604.854.374.578.600
7;;16;102400;500.0;0.5873058994064655
8;;16;102400;1000.0;0.30319249539276655
