;Benchmark;regions;trainingIterations;testIterations;totalPos;totalNeg;fp_rate;fn_rate;fn_percerr_mean;fn_relerr_var;fn_percerr_1percentile;fn_percerr_2.5percentile;fn_percerr_10percentile;fn_percerr_firstquartile;fn_percerr_median;fn_percerr_thirdquartile;fn_percerr_90percentile;fn_percerr_97.5percentile;fn_percerr_99percentile;fn_percerr_min;fn_percerr_max
0;;16.0;800.0;50000.0;50000.0;68889055.0;4.144;59.20003692894321;0.0020094028513995;1.3417037481033844e-09;7.065407459094786e-06;7.065518303761564e-06;7.065959550800471e-06;2.8262320483918302e-05;0.0002402620111752185;0.0020067212972207926;0.00723574121366255;0.014024926349520683;0.015381420453195446;7.065251850235654e-06;0.02537854015827179
1;;16.0;1600.0;50000.0;50000.0;70419284.0;2.002;59.180509418414424;0.0020075842257938348;1.341149857836399e-09;7.065403906381107e-06;7.0655175932188286e-06;7.065962392971414e-06;2.8262294904379814e-05;0.00024025430320762098;0.00199273072212236;0.007235656812554225;0.014018570072948933;0.015381349949166182;7.065179374876607e-06;0.02666400687303394
2;;16.0;3200.0;50000.0;50000.0;70948474.0;1.258;59.17147844504732;0.002007639341172762;1.3416031618973534e-09;7.065403195838371e-06;7.065516882676093e-06;7.065962392971414e-06;2.8262283535696042e-05;0.00024025328002608148;0.00199267942662118;0.007235656084958464;0.014024594565853477;0.015381658158730716;7.065179374876607e-06;0.02666400687303394
3;;16.0;6400.0;50000.0;50000.0;71518225.0;0.464;59.812461788586056;0.0020474974007811397;1.3559949829655693e-09;7.065397511496485e-06;7.0655147510478855e-06;7.065969498398772e-06;2.826256206844846e-05;0.0002614249524413026;0.0021834172002854757;0.007249826012412086;0.014046848809812218;0.015410163905471563;7.065179374876607e-06;0.02666400687303394
4;;16.0;12800.0;50000.0;50000.0;71632185.0;0.316;60.04864991902732;0.0020621087969630025;1.3617382776942577e-09;7.065398222039221e-06;7.065516172133357e-06;7.065969498398772e-06;2.826265586008958e-05;0.0002684885203052545;0.0022821857783128507;0.0072563365392852575;0.014062656555324793;0.015427327889483422;7.065158058594534e-06;0.026734572020359337
5;;16.0;25600.0;50000.0;50000.0;71776435.0;0.104;60.04239552995353;0.0020627085177693516;1.3627003969673979e-09;7.065397511496485e-06;7.065516172133357e-06;7.065969498398772e-06;2.8262658702260524e-05;0.0002684896571736317;0.0022821965103503317;0.00725634818081744;0.014067408847040497;0.015431527572218329;7.06515876913727e-06;0.026734572020359337
6;;16.0;51200.0;50000.0;50000.0;71801889.0;0.054;60.034140605966506;0.0020623787349904887;1.3622521999323567e-09;7.065397511496485e-06;7.065516172133357e-06;7.065971630026979e-06;2.8262675755286182e-05;0.00026849079404200893;0.0022821906895842403;0.00725633799447678;0.014067099255044013;0.015431473730131984;7.065155216423591e-06;0.029336076113395393
7;;16.0;102400.0;50000.0;50000.0;71818132.0;0.034;60.03482936593227;0.0020632051018765196;1.3637947438027709e-09;7.0653960904110136e-06;7.0655147510478855e-06;7.0659680773133005e-06;2.8262678597457125e-05;0.0002684904302441282;0.0022822247046860866;0.007256374374264851;0.014074098726268858;0.0154382229084149;7.065153084795384e-06;0.03057326830457896
8;;16.0;204800.0;50000.0;50000.0;71833862.0;0.01;60.222680217304756;0.002075780139421113;1.3696496159454341e-09;7.065392537697335e-06;7.06551404050515e-06;7.065966656227829e-06;2.8262741125217872e-05;0.0002755766672635218;0.002289375879627187;0.0072564740548841655;0.014088230091147125;0.01545976847410202;7.065138873940668e-06;0.030573367257602513
